preds_list2[[1]]$genes,1,prob_logit,pred_logit,pred_logit_PR
LOC_Os01g51200,0,0.012464071,0,0
LOC_Os07g46750,0,0.537574383,0,0
LOC_Os02g13110,0,0.560445039,0,0
LOC_Os03g08020,0,0.077646886,0,0
LOC_Os08g09240,0,0.006481538,0,0
LOC_Os05g01480,0,0.090809058,0,0
LOC_Os03g08010,0,0.23837609,0,0
LOC_Os01g24690,0,0.143187448,0,0
LOC_Os05g11730,0,0.475190762,0,0
LOC_Os08g12820,0,0.729736619,0,0
LOC_Os11g07040,0,0.555590315,0,0
LOC_Os01g10840,0,0.423747907,0,0
LOC_Os08g27070,0,0.273690125,0,0
LOC_Os01g41630,0,0.011632099,0,0
LOC_Os04g35600,1,0.996442982,1,1
LOC_Os03g25070,0,0.558726598,0,0
LOC_Os06g48590,0,0.855844159,1,1
LOC_Os05g44070,0,0.912474585,1,1
LOC_Os08g23710,0,0.871205286,1,1
LOC_Os10g04580,0,0.024449836,0,0
LOC_Os06g36160,0,0.000802426,0,0
LOC_Os10g39820,0,0.9998,1,1
LOC_Os03g29260,0,0.89854145,1,1
LOC_Os07g42300,0,0.903393661,1,1
LOC_Os01g70010,0,0.99417527,1,1
LOC_Os10g28230,0,0.402329923,0,0
LOC_Os08g09350,0,0.953899952,1,1
LOC_Os05g26890,0,0.341709719,0,0
LOC_Os04g38480,0,0.040424377,0,0
LOC_Os09g33600,1,0.003343184,0,0
LOC_Os01g19150,0,0.823767957,1,0
LOC_Os12g04180,0,1.0,1,1
LOC_Os12g41490,0,0.881991403,1,1
LOC_Os02g02410,1,0.905498405,1,1
LOC_Os05g03620,0,0.997846847,1,1
LOC_Os02g05480,0,0.825280758,1,0
LOC_Os03g08050,1,0.883145972,1,1
LOC_Os03g53190,0,0.706809909,0,0
LOC_Os02g43690,0,0.816939691,1,0
LOC_Os07g22710,0,0.385264556,0,0
LOC_Os03g55600,0,0.419430054,0,0
LOC_Os07g44710,0,0.984500401,1,1
LOC_Os01g32750,0,0.909166142,1,1
LOC_Os03g28410,0,0.984060268,1,1
LOC_Os03g59740,0,2.22e-16,0,0
LOC_Os02g03890,0,0.934800148,1,1
LOC_Os04g42270,0,0.131832708,0,0
LOC_Os03g61970,0,1.0,1,1
LOC_Os10g32550,0,0.673894157,0,0
LOC_Os05g47890,0,0.002902601,0,0
LOC_Os03g16920,1,0.938371639,1,1
LOC_Os03g02260,0,1.0,1,1
LOC_Os03g06070,0,0.999411639,1,1
LOC_Os09g07510,0,1.0,1,1
LOC_Os02g09740,0,0.592190797,0,0
LOC_Os07g08330,0,1.0,1,1
LOC_Os10g28040,0,0.997640108,1,1
LOC_Os06g12790,0,0.128389206,0,0
LOC_Os05g41210,0,0.027873007,0,0
LOC_Os02g05340,0,0.998279103,1,1
LOC_Os10g36650,0,0.927374171,1,1
LOC_Os03g59390,0,0.99372161,1,1
LOC_Os01g72790,0,2.22e-16,0,0
LOC_Os12g30060,0,0.997349647,1,1
