preds_list2[[1]]$genes,1,prob_svm,pred_svm,pred_svm_PR,prob_logit,pred_logit,pred_logit_PR
LOC_Os02g57080,0,0.167042141,0,0,0.485486281,0,0
LOC_Os06g37180,0,0.308352667,0,0,0.467842419,0,0
LOC_Os10g30520,0,0.177888734,0,0,0.498421328,0,0
LOC_Os06g38470,0,0.25995611,0,0,0.416179935,0,0
LOC_Os05g01600,0,0.334191372,0,0,0.487949046,0,0
LOC_Os03g26460,0,0.519728423,0,0,0.454744772,0,0
LOC_Os07g09680,0,0.117121077,0,0,0.493597925,0,0
LOC_Os05g01020,0,0.15678193,0,0,0.49581089,0,0
LOC_Os01g16960,0,0.31783421,0,0,0.461187774,0,0
LOC_Os04g43150,0,0.337372239,0,0,0.533094109,0,0
LOC_Os04g47240,0,0.126633844,0,0,0.448045534,0,0
LOC_Os01g51700,0,0.19174305,0,0,0.465372748,0,0
LOC_Os08g07400,0,0.280796311,0,0,0.472805245,0,0
LOC_Os05g49890,0,0.237079849,0,0,0.461928035,0,0
LOC_Os01g08450,0,0.129343186,0,0,0.517935965,0,0
LOC_Os09g19700,0,0.131520227,0,0,0.512659082,0,0
LOC_Os12g01390,0,0.214714312,0,0,0.523020766,0,0
LOC_Os08g15040,0,0.089472631,0,0,0.45413017,0,0
LOC_Os05g23600,0,0.141514109,0,0,0.488523275,0,0
LOC_Os03g43760,0,0.357050478,0,0,0.481313272,0,0
LOC_Os06g45300,0,0.272547417,0,0,0.488802675,0,0
LOC_Os05g01040,0,0.184796394,0,0,0.507012521,0,0
LOC_Os07g42450,0,0.098295527,0,0,0.543456807,0,0
LOC_Os03g08440,0,0.085690322,0,0,0.549049549,0,0
LOC_Os01g49290,0,0.239978175,0,0,0.481648993,0,0
LOC_Os01g62570,0,0.070040379,0,0,0.451216773,0,0
LOC_Os06g36770,0,0.248540736,0,0,0.485583455,0,0
LOC_Os01g59790,0,0.210285113,0,0,0.511024198,0,0
LOC_Os03g19870,0,0.149047293,0,0,0.485172508,0,0
LOC_Os07g12200,0,0.299845721,0,0,0.532028402,0,0
LOC_Os08g07760,0,0.178926218,0,0,0.503398863,0,0
LOC_Os09g32976,0,0.164711072,0,0,0.533216206,0,0
LOC_Os11g04390,0,0.140718814,0,0,0.527076811,0,0
LOC_Os05g06990,0,0.52993802,0,0,0.479333993,0,0
LOC_Os02g53420,0,0.207690995,0,0,0.556871125,0,0
LOC_Os02g43430,0,0.39858966,0,0,0.492831654,0,0
LOC_Os05g25540,0,0.456861321,0,0,0.450270172,0,0
LOC_Os07g48780,0,0.445138449,0,0,0.47891778,0,0
LOC_Os07g46660,0,0.062560571,0,0,0.561028975,0,0
LOC_Os02g07790,0,0.271459455,0,0,0.478628958,0,0
LOC_Os05g45420,0,0.193639687,0,0,0.42896585,0,0
LOC_Os03g50885,0,0.393568504,0,0,0.488623403,0,0
LOC_Os07g42626,0,0.321736063,0,0,0.51752405,0,0
LOC_Os01g51200,0,0.136218462,0,0,0.490908332,0,0
LOC_Os07g46750,0,0.120267783,0,0,0.530301218,0,0
LOC_Os02g13110,0,0.271767339,0,0,0.489555822,0,0
LOC_Os03g08020,0,0.310806214,0,0,0.520087539,0,0
LOC_Os08g09240,0,0.342835895,0,0,0.495006841,0,0
LOC_Os05g01480,0,0.351482915,0,0,0.495275948,0,0
LOC_Os03g08010,0,0.240151791,0,0,0.536998162,0,0
