,AUC,AUCcr,ACCURACYcr,BALANCED ACCURACYcr,Fcr,MCCcr,ALPHA,Algorithm
0,0.006582779913783032,-74.4557522123897,-0.9701648479219841,-36.97787610619485,0.0,-0.016497676122837996,0.9868344401724339,SVM
1,0.7217756029360364,0.37273443656422395,0.9999999999999999,1.0,0.9999999999999998,0.19532418405812232,0.5564487941279272,RF
2,0.7641558895491087,0.5535891498511414,1.0,1.0,1.0,0.27710800876581226,0.4716882209017826,LDA
