gene,status,prob_rf,prob_logit_Ada,pred_rf,pred_logit_PR,SUM_PR
LOC_Os01g51700,0,0.4859,2.22E-16,0,0,0
LOC_Os01g08450,0,0.513529,0.249429023,0,0,0
LOC_Os04g43150,0,0.471161,0.9999,0,1,1
LOC_Os08g07400,0,0.482131,0.009879078,0,0,0
LOC_Os06g45300,0,0.500406,2.22E-16,0,0,0
LOC_Os05g23600,0,0.490881,0.572274714,0,0,0
LOC_Os08g15040,0,0.486763,2.22E-16,0,0,0
LOC_Os05g49890,0,0.486857,0.012711743,0,0,0
LOC_Os05g25540,0,0.592847,0.537243995,0,0,0
LOC_Os07g42450,1,0.82116,1,1,1,2
LOC_Os11g04390,0,0.49196,0.999500009,0,1,1
LOC_Os12g01390,0,0.430692,0.525546974,0,0,0
LOC_Os01g59790,0,0.42717,2.22E-16,0,0,0
LOC_Os07g12200,0,0.470268,0.000300001,0,0,0
LOC_Os02g53420,0,0.481555,1,0,1,1
LOC_Os03g43760,0,0.585681,2.22E-16,0,0,0
LOC_Os01g49290,1,0.809744,0.000676142,1,0,1
LOC_Os03g08440,0,0.515428,0.999899501,0,1,1
LOC_Os02g07790,0,0.5255,2.22E-16,0,0,0
LOC_Os02g13110,0,0.503948,0.560445039,0,0,0
LOC_Os07g46660,0,0.475923,0.170797172,0,0,0
LOC_Os08g07760,0,0.472109,0.482158494,0,0,0
LOC_Os02g43430,0,0.499922,0.903261424,0,1,1
LOC_Os01g62570,0,0.504405,0.495439661,0,0,0
LOC_Os06g36770,0,0.506396,0.007223958,0,0,0
LOC_Os05g01040,0,0.47395,0.019854617,0,0,0
LOC_Os05g06990,0,0.495017,0.759369238,0,0,0
LOC_Os01g51200,0,0.512083,0.012464071,0,0,0
LOC_Os03g19870,0,0.561782,0.001408206,0,0,0
LOC_Os06g36160,0,0.516642,0.000802426,0,0,0
LOC_Os03g50885,1,0.861874,0.96226016,1,1,2
LOC_Os09g32976,1,0.814465,0.945567643,1,1,2
LOC_Os05g45420,0,0.502616,0.600080892,0,0,0
LOC_Os03g25070,0,0.492133,0.558726598,0,0,0
LOC_Os04g35600,1,0.816072,0.996442982,1,1,2
LOC_Os07g46750,0,0.496354,0.537574383,0,0,0
LOC_Os01g41630,0,0.502435,0.011632099,0,0,0
LOC_Os01g10840,0,0.541222,0.423747907,0,0,0
LOC_Os07g48780,0,0.496007,0.190889305,0,0,0
LOC_Os03g08020,0,0.46017,0.077646886,0,0,0
LOC_Os05g11730,0,0.501594,0.475190762,0,0,0
LOC_Os03g08050,1,0.815252,0.883145972,1,1,2
LOC_Os06g48590,0,0.625446,0.855844159,0,1,1
LOC_Os05g01480,0,0.503411,0.090809058,0,0,0
LOC_Os10g39820,0,0.496078,0.9998,0,1,1
LOC_Os08g12820,0,0.581189,0.729736619,0,0,0
LOC_Os02g05480,0,0.499892,0.825280758,0,0,0
LOC_Os03g53190,0,0.588109,0.706809909,0,0,0
LOC_Os01g24690,0,0.515106,0.143187448,0,0,0
LOC_Os01g70010,0,0.508299,0.99417527,0,1,1
LOC_Os08g09240,0,0.465627,0.006481538,0,0,0
LOC_Os08g27070,0,0.486233,0.273690125,0,0,0
LOC_Os03g08010,0,0.497355,0.23837609,0,0,0
LOC_Os07g42300,0,0.461952,0.903393661,0,1,1
LOC_Os05g44070,0,0.468665,0.912474585,0,1,1
LOC_Os10g28230,0,0.504313,0.402329923,0,0,0
LOC_Os12g41490,0,0.48784,0.881991403,0,1,1
LOC_Os07g44710,0,0.480975,0.984500401,0,1,1
LOC_Os07g42626,1,0.815253,0.999997817,1,1,2
LOC_Os04g42270,0,0.490528,0.131832708,0,0,0
LOC_Os03g55600,0,0.50257,0.419430054,0,0,0
LOC_Os04g38480,0,0.515394,0.040424377,0,0,0
LOC_Os03g29260,0,0.515662,0.89854145,0,1,1
LOC_Os08g09350,0,0.492471,0.953899952,0,1,1
LOC_Os10g04580,0,0.487041,0.024449836,0,0,0
LOC_Os10g32550,0,0.491044,0.673894157,0,0,0
LOC_Os05g26890,0,0.514863,0.341709719,0,0,0
LOC_Os08g23710,0,0.510941,0.871205286,0,1,1
LOC_Os11g07040,0,0.498527,0.555590315,0,0,0
LOC_Os01g19150,0,0.467012,0.823767957,0,0,0
