algorithm + prob,Count
total interatome,17228
training (1),62
pred_svm_0.9,0
pred_lda_0.9,327
pred_rf_0.9,82
pred_svm_0.8,0
pred_lda_0.8,66
pred_rf_0.8,44
pred_svm_0.7,0
pred_lda_0.7,327
pred_rf_0.7,82
pred_A_svm,16940
pred_A_lda,8159
pred_A_rf,9614
